time_stamp,cpu,mem
1970-01-01 00:00:00,17.0,92.0
1970-01-01 00:05:00,20.0,92.0
1970-01-01 00:10:00,34.0,95.0
1970-01-01 00:15:00,27.0,93.0
1970-01-01 00:20:00,33.0,95.0
1970-01-01 00:25:00,31.0,95.0
1970-01-01 00:30:00,28.0,96.0
1970-01-01 00:35:00,21.0,91.0
1970-01-01 00:40:00,30.0,92.0
1970-01-01 00:45:00,21.0,92.0
1970-01-01 00:50:00,22.0,93.0
1970-01-01 00:55:00,21.0,93.0
1970-01-01 01:00:00,21.0,96.0
1970-01-01 01:05:00,27.0,95.0
1970-01-01 01:10:00,24.0,92.0
1970-01-01 01:15:00,16.0,90.0
1970-01-01 01:20:00,48.0,95.0
1970-01-01 01:25:00,40.0,86.0
1970-01-01 01:30:00,35.0,88.0
1970-01-01 01:35:00,40.0,91.0
1970-01-01 01:40:00,25.0,86.0
1970-01-01 01:45:00,36.0,87.0
1970-01-01 01:50:00,28.0,89.0
1970-01-01 01:55:00,27.0,88.0
1970-01-01 02:00:00,21.0,88.0
1970-01-01 02:05:00,28.0,90.0
1970-01-01 02:10:00,36.0,91.0
1970-01-01 02:15:00,35.0,91.0
1970-01-01 02:20:00,37.0,87.0
1970-01-01 02:25:00,26.0,87.0
1970-01-01 02:30:00,28.0,86.0
1970-01-01 02:35:00,30.0,86.0
1970-01-01 02:40:00,32.0,87.0
1970-01-01 02:45:00,30.5,86.5
1970-01-01 02:50:00,29.0,86.0
1970-01-01 02:55:00,28.0,87.0
1970-01-01 03:00:00,27.0,88.0
1970-01-01 03:05:00,32.0,93.0
1970-01-01 03:10:00,29.0,90.0
1970-01-01 03:15:00,21.0,86.0
1970-01-01 03:20:00,26.0,88.0
1970-01-01 03:25:00,31.0,90.0
1970-01-01 03:30:00,33.0,90.0
1970-01-01 03:35:00,33.0,86.0
1970-01-01 03:40:00,31.0,88.0
1970-01-01 03:45:00,28.0,89.0
1970-01-01 03:50:00,29.0,91.0
1970-01-01 03:55:00,29.0,89.0
1970-01-01 04:00:00,33.0,91.0
1970-01-01 04:05:00,46.0,91.0
1970-01-01 04:10:00,41.0,92.0
1970-01-01 04:15:00,36.0,93.0
1970-01-01 04:20:00,31.0,91.0
1970-01-01 04:25:00,24.0,89.0
1970-01-01 04:30:00,29.0,91.0
1970-01-01 04:35:00,26.0,91.0
1970-01-01 04:40:00,25.0,90.0
1970-01-01 04:45:00,23.0,89.0
1970-01-01 04:50:00,43.0,92.0
1970-01-01 04:55:00,32.0,90.0
1970-01-01 05:00:00,34.0,90.0
1970-01-01 05:05:00,39.0,91.0
1970-01-01 05:10:00,35.0,92.0
1970-01-01 05:15:00,31.0,91.0
1970-01-01 05:20:00,30.0,92.0
